Device type,Device function,IP Address,Visible IP Address,OS Type,OS Version,Hostname(s),MAC Address,Manufacturer,First Seen,Last Seen
Server,Server,10.0.104.122,98.173.24.130,Linux,Linux Distribution,,,,3/14/2026 7:01,3/14/2026 7:01
Server,Server,10.0.105.125,98.173.24.130,Linux,Ubuntu,,,,3/14/2026 5:01,3/14/2026 5:01
Server,Server,10.0.104.180,98.173.24.130,Linux,Linux Distribution,,,,3/14/2026 0:58,3/14/2026 0:58
Server,Server,10.0.104.179,98.173.24.130,Linux,Linux Distribution,,,,3/14/2026 0:58,3/14/2026 0:58
Server,Server,10.0.104.22,98.173.24.130,Linux,Linux Distribution,,,,3/13/2026 22:58,3/13/2026 22:58
Server,Server,10.0.104.20,98.173.24.130,Linux,Linux Distribution,,,,3/13/2026 22:58,3/13/2026 22:58
Server,Server,10.0.104.21,98.173.24.130,Linux,Linux Distribution,,,,3/13/2026 22:58,3/13/2026 22:58
Server,Server,10.0.104.25,98.173.24.130,Linux,Linux Distribution,,,,3/13/2026 22:58,3/13/2026 22:58
Server,Server,10.0.105.115,98.173.24.130,Linux,Linux Distribution,,,,3/13/2026 22:55,3/13/2026 22:55
Server,Server,10.0.104.147,98.173.24.130,Linux,Linux Distribution,,,,3/13/2026 22:54,3/13/2026 22:54
Server,Server,10.0.104.133,98.173.24.130,Linux,Red Hat,,,,3/13/2026 22:54,3/13/2026 22:54
Server,Server,10.0.104.134,98.173.24.130,Linux,Red Hat,,,,3/13/2026 22:54,3/13/2026 22:54
Server,Server,10.0.104.130,98.173.24.130,Linux,Linux Distribution,,,,3/13/2026 22:54,3/13/2026 22:54
Workstation,Workstation,10.0.105.6,98.173.24.130,Windows,Windows 10,,,,3/13/2026 20:54,3/13/2026 20:54
Server,Server,10.0.104.63,98.173.24.130,Linux,Linux Distribution,,,,3/13/2026 20:51,3/13/2026 20:51
Server,Server,10.0.104.118,98.173.24.130,Linux,Linux Distribution,,,,3/13/2026 20:51,3/13/2026 20:51
Server,Server,10.0.104.120,98.173.24.130,Linux,Linux Distribution,,,,3/13/2026 20:51,3/13/2026 20:51
Workstation,Workstation,10.0.105.84,98.173.24.130,Windows,Windows 10,,,,3/13/2026 0:58,3/13/2026 1:12
